name	branch_name	total_test_files	total_target_files	first_before	first_same	first_after	average_diff_before	average_diff_same	average_diff_after
maven-resolver	{'master'}	160	137	1	91	45	208,0	173,14835164835165	147,86666666666667
airavata	{'master'}	81	64	0	19	45	0	128,92105263157896	83,24444444444444
james-project	{'master'}	2049	1236	5	922	309	71,7	113,28687635574838	122,35113268608414
logging-log4j2	{'2.x'}	859	531	10	251	270	82,95	131,75099601593627	114,07962962962964
struts1	{'trunk'}	37	31	0	4	27	0	161,75	239,16666666666666
ofbiz-framework	{'trunk'}	87	18	0	2	16	0	251,25	451,9375
cocoon	{'trunk'}	143	19	0	11	8	0	166,04545454545453	115,25
dubbo	{'3.2'}	894	854	5	355	494	87,8	124,27464788732394	101,20141700404858
kafka	{'trunk'}	1451	1116	7	763	346	330,57142857142856	185,82437745740498	110,42774566473989
incubator-seata	{'2.x'}	422	310	2	154	154	77,5	96,14935064935065	101,05194805194805
skywalking	{'master'}	211	162	2	102	58	72,25	104,49019607843137	93,34482758620689
flink	{'master'}	3815	2191	81	1361	749	95,30246913580247	150,85525349008083	125,29439252336448
