name	branch_name	total_test_files	total_target_files	first_before	first_same	first_after	average_diff_before	average_diff_same	average_diff_after	average_test_before	average_target_before	average_test_same	average_target_same	average_test_after	average_target_after
maven-resolver	{'master'}	160	137	1	91	45	208,0	173,14835164835165	147,86666666666667	304,0	112,0	143,92307692307693	202,37362637362637	115,88888888888889	179,84444444444443
airavata	{'master'}	81	64	0	19	45	0	128,92105263157896	83,24444444444444	0	0	105,05263157894737	152,78947368421052	109,93333333333334	56,55555555555556
james-project	{'master'}	2049	1236	5	922	309	71,7	113,28687635574838	122,35113268608414	124,2	19,2	121,32863340563992	105,24511930585683	97,97087378640776	146,73139158576052
logging-log4j2	{'2.x'}	859	531	10	251	270	82,95	131,75099601593627	114,07962962962964	53,1	112,8	93,52988047808765	169,97211155378486	98,48148148148148	129,67777777777778
struts1	{'trunk'}	37	31	0	4	27	0	161,75	239,16666666666666	0	0	128,25	195,25	206,2962962962963	272,037037037037
ofbiz-framework	{'trunk'}	87	18	0	2	16	0	251,25	451,9375	0	0	136,0	366,5	93,0	810,875
cocoon	{'trunk'}	143	19	0	11	8	0	166,04545454545453	115,25	0	0	162,8181818181818	169,27272727272728	59,0	171,5
dubbo	{'3.2'}	894	854	5	355	494	87,8	124,27464788732394	101,20141700404858	58,2	117,4	114,88450704225352	133,66478873239436	92,5080971659919	109,89473684210526
kafka	{'trunk'}	1451	1116	7	763	346	330,57142857142856	185,82437745740498	110,42774566473989	261,0	400,14285714285717	182,57011795543906	189,0786369593709	105,6820809248555	115,17341040462428
incubator-seata	{'2.x'}	422	310	2	154	154	77,5	96,14935064935065	101,05194805194805	92,5	62,5	98,21428571428571	94,08441558441558	92,77272727272727	109,33116883116882
skywalking	{'master'}	211	162	2	102	58	72,25	104,49019607843137	93,34482758620689	67,0	77,5	95,23529411764706	113,74509803921569	102,17241379310344	84,51724137931035
flink	{'master'}	3815	2191	81	1361	749	95,30246913580247	150,85525349008083	125,29439252336448	139,1604938271605	51,44444444444444	145,26377663482734	156,44673034533432	114,71295060080107	135,8758344459279
