name	branch_name	total_test_files	total_target_files	first_before	first_same	first_after	average_diff_before	average_diff_same	average_diff_after	average_test_before	average_target_before	average_test_same	average_target_same	average_test_after	average_target_after
orc	{'main'}	117	64	0	47	17	0	230,01063829787233	348,2352941176471	0	0	189,4468085106383	270,5744680851064	130,64705882352942	565,8235294117648
calcite	{'main'}	270	128	4	67	57	137,75	442,410447761194	192,48245614035088	154,25	121,25	426,17910447761193	458,64179104477614	138,89473684210526	246,0701754385965
doris	{'master'}	768	577	5	403	169	309,3	155,55831265508684	164,3698224852071	259,0	359,6	124,04962779156328	187,06699751861044	127,78698224852072	200,9526627218935
shiro	{'main'}	134	101	0	42	59	0	113,75	83,46610169491525	0	0	104,47619047619048	123,02380952380952	73,27118644067797	93,66101694915254
beam	{'master'}	1845	5628	25	5248	355	105,32	74,09213033536585	118,91408450704225	134,32	76,32	69,61928353658537	78,56497713414635	109,93239436619719	127,89577464788732
shardingsphere	{'master'}	1970	1387	3	823	561	22,333333333333332	43,924058323207774	58,18181818181818	40,0	4,666666666666667	45,1543134872418	42,693803159173754	66,00713012477718	50,35650623885918
nifi	{'main'}	1477	1351	6	1020	325	107,08333333333333	189,33382352941177	203,10615384615386	131,5	82,66666666666667	183,5892156862745	195,07843137254903	139,05846153846153	267,15384615384613
iotdb	{'master'}	721	531	5	285	241	86,1	154,60350877192982	108,28215767634855	98,4	73,8	149,01754385964912	160,18947368421053	112,31120331950207	104,25311203319502
iceberg	{'main'}	1376	1094	10	760	324	341,8	165,68026315789473	135,21913580246914	109,2	574,4	172,34736842105264	159,01315789473685	100,3179012345679	170,12037037037038
incubator-celeborn	{'main'}	12	9	0	9	0	0	159,27777777777777	0	0	0	150,0	168,55555555555554	0	0
incubator-kie-tools	{'main'}	3143	4064	39	2411	1614	93,83333333333333	114,20779759435919	109,91449814126393	96,17948717948718	91,48717948717949	125,08958938199918	103,32600580671921	104,96034696406444	114,86864931846344
